container_id	strategy	replacement_sha256	payload_sha256	reason
battlegauge	whole	8F0B27B68CC69EDFE572123E34291503EA1BED15F6EEB857DCD2A57D7CD45B62	3587EB4BB6404DD7E50DBD5F63BDF187D095B82D3407777EC26417AB4DF4D0D4	Import the complete official English container so its localized models and UVs stay coupled to its textures.
charsel1	whole	BAFFCCF2C935D2D60E56065A0DFB090A685F0B29A4C7867DE5CC01AC784FDF8F	17A410E6BE5AC6ECE339C1456DE2791A839BBBB4C194B9428AFC49CAF245ECCF	Import the complete official English container so its localized models and UVs stay coupled to its textures.
continue	whole	A154F5DC4FF542BA4E1E1CA3D53DD1478C444C56317A47D495D21A482F9F4E81	D6C051B805C8A3C7FF21F20D2620B319AEC0519EB76F765EC4A218859BF39136	Import the complete official English container so its localized models and animations stay coupled to its textures.
gauge	whole	345EAA1BD10FB54FEC88CE9C6039D98B4104C4A6299E22BB8A35F01AB64AA7E8	0A3FC406262BC97145A49F27522CFE9063774CC8CB99B877D2252392ECEAF490	Import the complete official English common-window container so its regional button legends, character labels, models, and UVs stay coupled.
home	whole	ACCD8D0014815C6B48FBD90AAE5755A021AD4AE3B81A7DDE49A1C5F5A80B9346	9ADAC4D30DD9F2F9DE89732CD3B735F3531B48F90CD43F33711F9BCEF6434E20	Import the complete official English container so its localized models and UVs stay coupled to its textures.
loading_spload	whole	E78FA6CDA2D1FEA7BBE4E7107F5D3559E4F8D2F39821A0F9D0473A73C1EE5FC9	7353F3FA03B5AB16C25D07DCD2FFE4315D468C576C51D14973131B0FA8178DDC	Import the complete official English container.
mapsel1	whole	3F0EB0B3F900B6338318FA367F3C74C1F2D1540415EE5AA628C1786D337B3CBF	D84507B403F6E607CFCD4EB7860D89EC7F56B3C593F591A537B5865582863A0E	Import the complete official English container so stage pictures, ordering, models, UVs, and labels stay coupled.
mode1_ank	mapped	CB7B0E9C0BA21662D18559E37C403050FE906BBD512E0423BFA40E5F29833C6D	5BA99B6558F238F91CD56A3C21BE6BF9ACFC7FE7826B9B33ADAA8C786D1998A0	Import only official English ordinary-awakening labels; preserve every unrelated NA2 visual and the target CCS structure.
mode1_asw	mapped	31148636F1A24549AE08703EAF6B751AD80AFEA5B4B5200A71CA7C7B918C0F27	E4968086FB92680653F99C49CC7BD9EFA503B92219590C26B860D73739FFE393	Import only official English ordinary-awakening labels; preserve every unrelated NA2 visual and the target CCS structure.
mode1_chy	mapped	B8282EC0CA0482FD35058CBAAEE1402E71FABAFC2550FBC4AA428B28C462F52D	4E7DFDBF8999E8D1AD5A39611E37DC7CC4756518AD9CD9DD306E7F62F398C63C	Import only official English ordinary-awakening labels; preserve every unrelated NA2 visual and the target CCS structure.
