path	offset	expected_hex	replacement_hex	source_text	replacement_text
PRG/BTL.BIN	0x1E2130	3C7289BA94457C82B082C982F13E83898393834E8260	47656E696E2052616E6B204100000000000000000000	<r下忍|げにん>ランクＡ	Genin Rank A
PRG/BTL.BIN	0x1E2150	3C7289BA94457C82B082C982F13E83898393834E8261	47656E696E2052616E6B204200000000000000000000	<r下忍|げにん>ランクＢ	Genin Rank B
PRG/BTL.BIN	0x1E2170	3C7289BA94457C82B082C982F13E83898393834E8262	47656E696E2052616E6B204300000000000000000000	<r下忍|げにん>ランクＣ	Genin Rank C
PRG/BTL.BIN	0x1E2190	3C7289BA94457C82B082C982F13E83898393834E8263	47656E696E2052616E6B204400000000000000000000	<r下忍|げにん>ランクＤ	Genin Rank D
PRG/BTL.BIN	0x1E21B0	3C728DBB7C82B782C83E82CC3C728E4F8E6F92ED7C82B382F182AB82E582A482BE82A23E	53616E64205369626C696E67730000000000000000000000000000000000000000000000	<r砂|すな>の<r三姉弟|さんきょうだい>	Sand Siblings
PRG/BTL.BIN	0x1E21E0	3C7296B67C82AB82E83E82CC3C728E688B717C82B582A982AD3E	417373617373696E73206F6620746865204D6973740000000000	<r霧|きり>の<r刺客|しかく>	Assassins of the Mist
PRG/BTL.BIN	0x1E2200	3C7290568D6794C77C82B582F182AD82EA82C882A282CD82F13E	4E6577205465616D204B7572656E616900000000000000000000	<r新紅班|しんくれないはん>	New Team Kurenai
PRG/BTL.BIN	0x1E2220	3C7290567C82B582F13E83418358837D3C7294C77C82CD82F13E	4E6577205465616D204173756D61000000000000000000000000	<r新|しん>アスマ<r班|はん>	New Team Asuma
PRG/BTL.BIN	0x1E2240	3C7290567C82B582F13E834B83433C7294C77C82CD82F13E	4E6577205465616D20477579000000000000000000000000	<r新|しん>ガイ<r班|はん>	New Team Guy
PRG/BTL.BIN	0x1E2260	3C7290567C82B582F13E834A834A83563C7294C77C82CD82F13E	4E6577205465616D204B616B6173686900000000000000000000	<r新|しん>カカシ<r班|はん>	New Team Kakashi
PRG/BTL.BIN	0x1E2280	3C728FE394457C82B682E582A482C982F13E83898393834E8260	52616E6B2041204A6F6E696E0000000000000000000000000000	<r上忍|じょうにん>ランクＡ	Rank A Jonin
PRG/BTL.BIN	0x1E22A0	3C728FE394457C82B682E582A482C982F13E83898393834E8261	52616E6B2042204A6F6E696E0000000000000000000000000000	<r上忍|じょうにん>ランクＢ	Rank B Jonin
PRG/BTL.BIN	0x1E22C0	3C728DBB7C82B782C83E82CC3C728BAD8ED27C82C282ED82E082CC3E	4368616D70696F6E73206F66207468652053616E6400000000000000	<r砂|すな>の<r強者|つわもの>	Champions of the Sand
PRG/BTL.BIN	0x1E22E0	3C7289B97C82A882C63E82CC3C728CDC906C8F4F7C82B282C982F182B582E382A43E	54686520536F756E6420466976650000000000000000000000000000000000000000	<r音|おと>の<r五人衆|ごにんしゅう>	The Sound Five
PRG/BTL.BIN	0x1E2310	3C728ED77C82E682B182B582DC3E82C882E93C728ED27C82E082CC3E	546865204576696C204F6E6573000000000000000000000000000000	<r邪|よこしま>なる<r者|もの>	The Evil Ones
PRG/BTL.BIN	0x1E2330	3C72936090E07C82C582F182B982C23E82CC3C728E4F94457C82B382F182C982F13E	5468652047726561742053616E6E696E000000000000000000000000000000000000	<r伝説|でんせつ>の<r三忍|さんにん>	The Great Sannin
PRG/BTL.BIN	0x1E2360	81673C728BC57C82A082A982C282AB3E8168	416B617473756B6900000000000000000000	“<r暁|あかつき>”	Akatsuki
PRG/BTL.BIN	0x1E2380	3C7289CE89657C82D982A982B03E82BD82BF	5465616D20486F6B61676500000000000000	<r火影|ほかげ>たち	Team Hokage
PRG/BTL.BIN	0x1E23A0	3C7293C195CA91CE90ED7C82C682AD82D782C282BD82A282B982F13E	5370656369616C205653000000000000000000000000000000000000	<r特別対戦|とくべつたいせん>	Special VS
PRG/BTL.BIN	0x1E23C0	3C728BE094AF8CDC906C8F4F7C82AB82F182CF82C282B282C982F182B582E382A43E	426C6F6E646520466976650000000000000000000000000000000000000000000000	<r金髪五人衆|きんぱつごにんしゅう>	Blonde Five
PRG/BTL.BIN	0x1E23F0	3C7298F899538C5292637C82AD82AE82C282AE82F182BE82F13E	5075707065746D61737465722054726F6F700000000000000000	<r傀儡軍団|くぐつぐんだん>	Puppetmaster Troop
PRG/BTL.BIN	0x1E2410	3C7296D87C82B13E836D3C72977490E690B67C82CD82B982F182B982A23E	5465616368657273206F6620746865204C65616600000000000000000000	<r木|こ>ノ<r葉先生|はせんせい>	Teachers of the Leaf
PRG/BTL.BIN	0x1E2430	3C728C8C8C708CC08A457C82AF82C182AF82A282B082F182A982A23E	4B656B6B65692047656E6B6169000000000000000000000000000000	<r血継限界|けっけいげんかい>	Kekkei Genkai
